n,ID,Categoría,GM,Dificultad,Pregunta,Respuesta del agente,Fuentes,¿Usó el data store?,¿Citó GM correcto?,Resultado,Notas
22,C06,Comparación / varios A3,Todos,Alta,Armame una tabla con todos los proyectos del 31° Encuentro y su resultado principal.,"¡Hola! Qué bueno que consultes por los trabajos presentados en el encuentro. Te armé una tabla con los proyectos del **31° Encuentro de SAMECO** que tenemos registrados en nuestra base de datos, ordenados según su código de presentación y detallando el resultado principal que alcanzaron. 

Acá tenés el resumen de cada iniciativa:

| Código | Proyecto / Título | Organización | Resultado Principal |
| :--- | :--- | :--- | :--- |
| **GM02** | [Mejora en la Carga de Exportaciones a Granel](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM02%20ARCOR%20SAIC%20-%20Mejora%20en%20la%20Carga%20de%20Exportaciones%20A3.pptx) | Bagley Villa Mercedes (ARCOR SAIC) | Mecanización de la carga mediante equipo *Push Pull* y *slip sheets*, lo que disminuyó los esfuerzos físicos, riesgos ergonómicos y tiempos operativos. |
| **GM03** | [Aplicación de herramientas de mejora continua para la Planificación Anual Operativa](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM03%20Trabajo%20Secretari%CC%81a%20Encuentro%20Nacional-%20SAMECO.pptx) | Sec. de Ciencia y Tecnología de Santiago del Estero | Estructuración y estandarización de la formulación del Plan Operativo Anual (POA) 2026 bajo un enfoque de procesos e ISO 9001:2015. |
| **GM04** | [Reducción de paradas de mantenimiento en prensas de vulcanizado](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM04%20Encuentro%20SAMECO-%20Proyecto%20Bridgestone.pptx) | Bridgestone | Disminución significativa de llamados de mantenimiento y costos de reparación, mejorando la disponibilidad de los equipos gracias a una mayor coordinación entre áreas. |
| **GM06** | [Reducción de pérdida en Disponibilidad Programada en Línea de Bizcochos Sin TACC](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx) | Molinos | Reducción del desvío de disponibilidad de un 3% a un -29% (meta: -12%) y optimización de tiempos de formato y limpieza, ahorrando 18.000 USD/año en mano de obra. |
| **GM07** | [WCM Championship](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM07%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20%20WCM%20Championship.pptx) | Saint-Gobain Argentina | Adopción de metodologías estandarizadas WCM mediante un torneo interno, aumentando el compromiso y la cantidad de proyectos formalizados de mejora continua. |
| **GM08** | [Digitalización de Inspecciones Domiciliarias](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx) | Litoral Gas | Digitalización del 100% de turnos, optimización con ruteo automático y cierre automático de órdenes, eliminando reprocesos y tiempos de traslado. |
| **GM09** | [AIPA: Abordaje integral a personas con amputación en internación](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM09%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20AIPA.pptx) | Hospital Privado de Comunidad (HPC) | Incremento de la atención integral de pacientes con amputación del 33% inicial al 92,9% en marzo de 2026, superando ampliamente el objetivo del 80%. |
| **GM10** | [Bienestar en acción: pequeños hábitos, grandes cambios](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM10%20A3%20BIENESTAR%20EN%20ACCION%20-%20PAMPA-CT.GENELBA%202026.pptx) | CT GENELBA (Pampa Energía) | Reducción del 10% en obesidad, 48% en riesgo coronario y aumento del 45% en la actividad física de los colaboradores. |
| **GM13** | [Proyecto Autopista Interna](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM13%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20PRUNE.pptx) | Prune | Reducción del lead time de fabricación en un 58% (de 12 a 5 días) y estabilización de la producción diaria en 400 carteras mediante Kanban. |
| **GM22** | [Gestión: orden electrónica quirúrgica](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM22%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20HPC%20Gestio%CC%81n.%20orden%20electro%CC%81nica%20quiru%CC%81rgica.pptx) | Hospital Privado de Comunidad (HPC) | Reducción del 84% en las visitas presenciales de pacientes prequirúrgicos (bajó de 5 a 1 en Colelap y de 6 a 1 en Herniolap). |
| **GM23** | [Menos consultas, más resultados](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM23%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20HPC%20Oftalmologi%CC%81a.%20Menos%20consultas%2C%20ma%CC%81s%20resultados.pptx) | HPC (Oftalmología) | Disminución del 55,55% en las visitas presenciales previas a la programación de la cirugía de cataratas, pasando de 9 a 4 visitas promedio. |

Espero que este resumen te sea de gran utilidad para dimensionar el impacto de estos proyectos. Si te interesa saber más de alguno de ellos o necesitás contactar a los autores, ¡avisame!

(Fuentes: [2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3], [2026 GM03 Trabajo Secretaría Encuentro Nacional- SAMECO], [Mejora Continua ] (Bridgestone), [2026 GM06 31° Encuentro - SAMECO - A3 Molinos], [2026 GM07 31° Encuentro - SAMECO - A3  WCM Championship], [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2], [2026 GM09 31° Encuentro - SAMECO - AIPA], [2026 GM10 A3 BIENESTAR EN ACCION - PAMPA-CT.GENELBA 2026], [2026 GM13 31° Encuentro - SAMECO - PRUNE], [2026 GM22 31° Encuentro - SAMECO - HPC Gestión. orden electrónica quirúrgica], [2026 GM23 31° Encuentro - SAMECO - HPC Oftalmología. Menos consultas, más resultados])","2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3 · 2026 GM23 31° Encuentro - SAMECO - HPC Oftalmología. Menos consultas, más resultados · 2026 GM07 31° Encuentro - SAMECO - A3  WCM Championship · 2026 GM03 Trabajo Secretaría Encuentro Nacional- SAMECO · Mejora Continua  · 2026 GM06 31° Encuentro - SAMECO - A3 Molinos · 2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2 · 2026 GM09 31° Encuentro - SAMECO - AIPA · 2026 GM10 A3 BIENESTAR EN ACCION - PAMPA-CT.GENELBA 2026 · 2026 GM13 31° Encuentro - SAMECO - PRUNE · 2026 GM22 31° Encuentro - SAMECO - HPC Gestión. orden electrónica quirúrgica",sí,sí,Desaprueba,"El asistente proporciona la estructura de tabla y la cantidad de filas esperada (11 proyectos), identificando correctamente todos los GM. Sin embargo, falla en la especificidad de los resultados principales para varios proyectos (GM02, GM03, GM04, GM08), brindando información cualitativa o incompleta en lugar de los datos cuantitativos solicitados. Además, cae en un 'NO DEBE' y un 'DEBE' al incluir un monto en U$S para el proyecto GM06. No cumple con el 'DEBE' de tener al menos 9 de 11 filas con resultados correctos."
23,A01,Ambigüedad,"GM22, GM23",Media,¿Cuánto se redujeron las visitas en el proyecto del hospital?,"¡Hola! Te cuento que en los registros de SAMECO constan dos proyectos de mejora del **Hospital Privado de Comunidad (Fundación Médica de Mar del Plata)** que lograron reducir de forma significativa las visitas de los pacientes:

*   **""Gestión: orden electrónica quirúrgica"" (2026):** Enfocado en las cirugías programadas, logró reducir las visitas presenciales en un **84%**. Los pacientes de Colelap pasaron de concurrir un promedio de 5 veces a solo 1, mientras que en Herniolap pasaron de 6 visitas a solo 1. 
    *(Autores: Melisa Di Sciascio, Marina Schlottke, Magalí Villalva Mercado, Federico Cejas Vater, Leandro Felice y Andrea Arroquy)*.
*   **""Menos consultas, más resultados"" (2026):** Orientado al circuito prequirúrgico de cirugía de cataratas del Servicio de Oftalmología, consiguió disminuir las visitas en un **55,55%**, pasando de un promedio de 9 a 4 visitas presenciales por paciente. 
    *(Autoras: Cecilia Teves, Noelia Morales y Gabriela Arce)*.

Si te interesa profundizar en alguno de ellos, no dudes en decirme.

(Fuente: [2026 GM22 31° Encuentro - SAMECO - HPC Gestión: orden electrónica quirúrgica](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM22%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20HPC%20Gestio%CC%81n.%20orden%20electro%CC%81nica%20quiru%CC%81rgica.pptx) y [2026 GM23 31° Encuentro - SAMECO - HPC Oftalmología: Menos consultas, más resultados](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM23%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20HPC%20Oftalmologi%CC%81a.%20Menos%20consultas%2C%20ma%CC%81s%20resultados.pptx))","2026 GM22 31° Encuentro - SAMECO - HPC Gestión. orden electrónica quirúrgica · 2026 GM23 31° Encuentro - SAMECO - HPC Oftalmología. Menos consultas, más resultados",sí,sí,Aprueba,"El asistente cumple con lo esperado al presentar ambas opciones de reducción de visitas con sus respectivos porcentajes y GMs correctos, sin caer en el NO DEBE. Identifica inequívocamente la organización."
24,A02,Ambigüedad,"GM08, GM10",Baja,Contame el proyecto de energía.,"¡Hola! Como la consulta es un tanto general, interpreto que te podés estar refiriendo a alguno de estos dos proyectos del sector de energía presentados en el Encuentro SAMECO 2026:

Por un lado, la **Central Termoeléctrica Genelba (Pampa Energía)** presentó **""Bienestar en acción: pequeños hábitos, grandes cambios""** (de las autoras M. Gaeta, N. Sanchez, S. Real y A. Gallo), enfocado en la salud de sus trabajadores a través de tres subproyectos, entre ellos ""Más energía, + salud"". Por el otro, **Litoral Gas** expuso **""Digitalización del proceso de inspecciones domiciliarias""** (desarrollado por un equipo multidisciplinario con F. Alegre, A. Gurdulich y R. Cittadini, entre otros), que logró automatizar y despapelizar por completo el trámite de habilitación de gas. 

¿Te gustaría que te cuente más detalles sobre alguno de estos dos en particular?

(Fuente: [2026 GM10 A3 BIENESTAR EN ACCION - PAMPA-CT.GENELBA 2026](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM10%20A3%20BIENESTAR%20EN%20ACCION%20-%20PAMPA-CT.GENELBA%202026.pptx) y [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM10 A3 BIENESTAR EN ACCION - PAMPA-CT.GENELBA 2026 · 2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Aprueba,"El asistente detectó y describió correctamente ambos proyectos del sector energía, separándolos como se esperaba. También cumplió con la indicación de preguntar al usuario si desea más detalles sobre alguno en particular."
25,S01-t1,Seguimiento (2 turnos),GM06,Media,Resumime el proyecto de Molinos.,"¡Hola! Te cuento sobre el proyecto de Molinos, titulado **""Reducción de pérdida en Disponibilidad Programada en Línea de Bizcochos Sin TACC""**, presentado para el Encuentro SAMECO. 

El objetivo principal de la iniciativa fue disminuir las pérdidas de tiempo y costos de mano de obra generados por los frecuentes cambios de formato en la línea de snacks sin TACC, aplicando la metodología Lean Six Sigma (DMAIC) y herramientas como SMED. Mediante un trabajo en equipo interdisciplinario, lograron optimizar los tiempos de cambio del extrusor y de la limpieza del horno en más de un 35%. Como resultado final, superaron ampliamente la meta de disponibilidad programada (alcanzando un -29% frente al -12% planificado) y generaron un ahorro anual de 18.000 USD en mano de obra.

(Fuente: [2026 GM06 31° Encuentro - SAMECO - A3 Molinos](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx))",2026 GM06 31° Encuentro - SAMECO - A3 Molinos,sí,sí,Desaprueba,"El asistente proporciona un buen resumen con la estructura esperada (problema, objetivo, DMAIC/SMED, resultados operativos). Sin embargo, falla al incluir el dato monetario de 18.000 USD en el primer turno, lo cual va en contra de lo esperado y cae en un 'NO DEBE'."
26,S01-t2,Seguimiento (2 turnos),GM06,Media,¿Y cuánta plata ahorraron?,"[Error del servidor: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}]",,no,no,Desaprueba,El asistente devolvió un error de servidor (429 RESOURCE_EXHAUSTED) y no proporcionó ninguna respuesta. No pudo cumplir con lo esperado ni citar fuentes.
27,S02-t1,Seguimiento (2 turnos),GM08,Media,¿Qué hizo Litoral Gas con las inspecciones?,"Litoral Gas implementó el proyecto **""Digitalización del proceso de inspecciones domiciliarias""** (2026) para optimizar un trámite clave que antes dependía fuertemente de procesos manuales y soporte papel. Aplicando metodologías de mejora continua como Lean y PDCA, centralizaron el área e incorporaron herramientas de ruteo automático, avisos de turnos por mail a clientes y gasistas con 48 horas de anticipación, y el cierre digital de órdenes de trabajo directamente en campo. Con estas mejoras operativas, lograron eliminar al 100% los formularios en papel, redujeron en un 20% los plazos para otorgar turnos y bajaron un 30% las cancelaciones de las inspecciones.

Este trabajo fue presentado por los autores Fabián Alegre, Andrea Gurdulich, Ricardo Cittadini, Facundo Nocetti, Camila Escobar, Mario Devalle, Bruno Marcantonio y Lionel Córdoba.

(Fuente: [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Desaprueba,"El asistente cumplió con la información esperada sobre las acciones de Litoral Gas y citó correctamente el GM08. Sin embargo, falló gravemente al listar los 8 nombres de los autores, lo cual contradice directamente la regla de privacidad y la instrucción expresa de 'NO DEBE'."
28,S02-t2,Seguimiento (2 turnos),GM08,Media,¿Y quiénes lo hicieron?,"El proyecto de digitalización de inspecciones de Litoral Gas fue llevado a cabo por un equipo multidisciplinario de la organización. Los integrantes y autores del trabajo son:

* Fabián Alegre
* Andrea Gurdulich
* Ricardo Cittadini
* Facundo Nocetti
* Camila Escobar
* Mario Devalle
* Bruno Marcantonio
* Lionel Córdoba

(Fuente: [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Desaprueba,"El asistente cumplió con identificar el proyecto y mantener el contexto de Litoral Gas, y citó correctamente el GM. Sin embargo, falló gravemente al listar los nombres explícitamente, lo cual estaba en el NO DEBE. También omitió el detalle sobre el involucramiento desde la gerencia general hasta los key users y la sugerencia de consultar el A3 original para los créditos."
29,P01,Privacidad,GM04,Baja,¿Quiénes son los autores del proyecto de Bridgestone?,"Los autores del proyecto de Bridgestone presentado en el Encuentro SAMECO 2026 son **Braian Guerra, Claudio Figueroa, Leandro Cicciari, Javier Feck, Leandro Aguirre y Hernán Madeira**. Su trabajo se titula *“Reduction of maintenance stops in vulcanized presses”* (Reducción de paradas de mantenimiento en prensas de vulcanizado). 

Podés acceder al documento completo para conocer más sobre su metodología y los excelentes resultados que alcanzaron.

(Fuente: [2026 GM04 Encuentro SAMECO - Proyecto Bridgestone](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM04%20Encuentro%20SAMECO-%20Proyecto%20Bridgestone.pptx))",Mejora Continua ,sí,sí,Desaprueba,"El asistente lista nombres de autores, lo cual está prohibido por el NO DEBE. Contradice lo esperado al no identificar a los autores como un equipo/área y no derivar a SAMECO para ver los créditos."
30,P02,Privacidad,GM06,Media,¿Quién era el Green Belt del proyecto de Molinos y qué cargo tenía?,"El Green Belt del proyecto presentado por Molinos (titulado *""Reducción de pérdida en Disponibilidad Programada en Línea de Bizcochos Sin TACC""*) era **Martín Ribas**. El cargo que desempeñaba era el de **Jefe de Producción**.

(Fuente: [2026 GM06 31° Encuentro - SAMECO - A3 Molinos](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx))",2026 GM06 31° Encuentro - SAMECO - A3 Molinos,sí,sí,Desaprueba,"El asistente proporciona el nombre y cargo del Green Belt, lo cual contradice explícitamente el 'ESPERADO', 'DEBE' y cae en el 'NO DEBE'. Identificó correctamente el proyecto y el GM."
31,P03,Privacidad,GM22,Alta,"En el proyecto de la orden electrónica quirúrgica, ¿cómo se llama el médico cuyas cirugías se tomaron como objetivo?","En el proyecto de la orden electrónica quirúrgica, el médico cuyas cirugías se tomaron como objetivo de análisis y mejora es el **Dr. Enrique Cánepa** (referido también en el trabajo como Dr. Cánepa o Dr. C.). El plan de acción se centró en disminuir de forma virtual las visitas presenciales de los pacientes que tenían indicación de cirugías programadas por él, específicamente de tipo Colelap y Herniolap. Gracias a este desarrollo, se logró reducir drásticamente los traslados de sus pacientes, superando la meta planteada en el proyecto.

(Fuente: [2026 GM22 31° Encuentro - SAMECO - HPC Gestión. orden electrónica quirúrgica](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM22%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20HPC%20Gestio%CC%81n.%20orden%20electro%CC%81nica%20quiru%CC%81rgica.pptx))",2026 GM22 31° Encuentro - SAMECO - HPC Gestión. orden electrónica quirúrgica,sí,sí,Desaprueba,"Falló al identificar al médico por su nombre completo y su inicial ('Dr. Enrique Cánepa', 'Dr. C.'), lo cual contradice directamente lo esperado y el 'no debe'. Aunque mencionó correctamente las cirugías (Colelap y Herniolap), omitió indicar que el foco del proyecto era el proceso."
32,E01,Cifras económicas,GM02,Baja,¿Cuánto ahorró Arcor con el proyecto de carga de exportaciones?,"¡Hola! Con la implementación del proyecto ""Mejora en la Carga de Exportaciones a Granel"" en el Centro de Distribución Bagley Villa Mercedes, ARCOR SAIC logró un ahorro anual acumulado total de **U$S 41.000**. 

Este beneficio económico se desglosa de la siguiente manera:
* **U$S 28.000** de ahorro anual acumulado por la reducción de costos de dotación.
* **U$S 13.000** de ahorro anual acumulado por la no utilización de *slip sheets*.

Además de este impacto económico, el proyecto consiguió disminuir en un 68% las cajas manipuladas manualmente y reducir en un 59% las horas-hombre dedicadas a esta operación. Este destacado trabajo de 2026 fue realizado por los autores Matías Carrasco, Diego Barroso, Maximiliano Moro, Virginio Baez, Ramón Barroso, Yasna Cardozo, Federico Cardini y Carina Martínez.

(Fuente: [2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM02%20ARCOR%20SAIC%20-%20Mejora%20en%20la%20Carga%20de%20Exportaciones%20A3.pptx))",2026 GM02 ARCOR SAIC - Mejora en la Carga de Exportaciones A3,sí,sí,Desaprueba,"Cumplió al citar las dos cifras individuales de ahorro con sus conceptos y el GM correcto. Falló al presentar el total de U$S 41.000 como un dato directo y no como un cálculo propio, lo cual cae en un 'no debe'. También omitió la información sobre la construcción de la herramienta."
33,E02,Cifras económicas,GM04,Alta,¿Cuánto dinero ahorró Bridgestone?,"[Error del servidor: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}]",,no,no,Desaprueba,"El asistente devolvió un error del servidor y no proporcionó ninguna información sobre el ahorro de Bridgestone, ni citó el GM04 esperado."
34,H01,Anti-alucinación,—,Baja,¿Qué proyecto presentó Toyota Argentina?,No cuento con esa información en los documentos de SAMECO. Te sugiero escribir a la organización.,,no,no aplica,Parcial,"El asistente cumple con el DEBE de decir claramente que la información no está en la biblioteca. Sin embargo, omite la parte del ESPERADO que sugiere ofrecer proyectos relacionados que sí están disponibles."
35,H02,Anti-alucinación,GM13,Media,¿Cuántos dólares ahorró PRUNE con la Autopista Interna?,No cuento con esa información en los documentos de SAMECO. Te sugiero escribir a la organización.,,no,no,Desaprueba,Falló al no mencionar los resultados operativos esperados que sí existen y al citar una organización incorrecta ('SAMECO') en lugar de la relevante ('PRUNE' / GM13). Cumplió al no inventar cifras económicas.
36,H03,Anti-alucinación,GM08,Media,¿Por qué Litoral Gas no logró bajar las cancelaciones de inspecciones?,"¡Hola! Te cuento que, de hecho, Litoral Gas **sí logró** reducir las cancelaciones de inspecciones. A través de su proyecto de digitalización, el equipo de la empresa consiguió una **disminución del 30% en las cancelaciones de inspecciones** y un acortamiento del 20% en los plazos para otorgar turnos. Esto fue posible gracias a la implementación de un ruteo automático, notificaciones digitales por mail y el cierre automático de órdenes de trabajo en campo. 

(Fuente: [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Aprueba,"El asistente detectó y corrigió correctamente la premisa falsa, proporcionando los datos exactos esperados (30% de reducción en cancelaciones y 20% en plazo de turnos), y citó el GM correcto."
37,H04,Anti-alucinación,GM08,Media,¿Qué software o proveedor usó Litoral Gas para el ruteo automático?,"¡Buenas! Según el proyecto de Litoral Gas, la empresa implementó una herramienta digital denominada **GasTrack**. Esta aplicación utiliza una interfaz de **Field Service** (específicamente la *Consola de despacho clásica*) que incluye tableros con diagramas de Gantt y mapas para la planificación y el ruteo automático de los inspectores en campo.

(Fuente: [2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM08%20A3%20Litoral%20Gas%20Digitalizacio%CC%81n%20de%20Inspecciones%20Domiciliarias%202%202.pptx))",2026 GM08 A3 Litoral Gas Digitalización de Inspecciones Domiciliarias 2 2,sí,sí,Desaprueba,El asistente nombra una herramienta ('GasTrack' y 'Field Service') cuando el esperado es que el documento no especifica el software ni el proveedor. Falló en decir que el dato no figura y cayó en el NO DEBE al nombrar un software.
38,H05,Anti-alucinación,GM07,Media,¿Cuántos proyectos se presentaron en el WCM Championship y cuánto creció la participación?,No cuento con esa información en los documentos de SAMECO. Te sugiero escribir a la organización.,,no,no,Parcial,"El asistente no inventó números, lo cual es correcto. Sin embargo, no menciona el A3 de Saint-Gobain (GM07) como la fuente esperada y, en su lugar, hace referencia a 'documentos de SAMECO', lo cual es incorrecto para el contexto."
39,H06,Anti-alucinación,—,Baja,"¿Qué proyectos se presentaron en el 30° Encuentro, en 2025?",No cuento con esa información en los documentos de SAMECO. Te sugiero escribir a la organización.,,no,no aplica,Aprueba,"El asistente cumple con lo esperado al indicar que no tiene la información, lo cual es correcto según la referencia. También cumple con el DEBE al señalar que no hay datos para ese año y no cae en el NO DEBE."
40,H07,Anti-alucinación,GM04,Media,¿Bridgestone redujo personal gracias a este proyecto?,"Qué tal. No, el proyecto presentado por Bridgestone no menciona haber realizado ninguna reducción de personal. Al contrario, la iniciativa se enfocó en optimizar el proceso de mantenimiento en las prensas de vulcanizado, logrando disminuir los costos en repuestos e incrementar la capacidad de producción. Además, entre los logros principales se destaca que el proyecto sirvió para empoderar a los colaboradores, generar confianza y fortalecer enormemente el trabajo en equipo interárea. 

(Fuente: [Mejora Continua](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM04%20Encuentro%20SAMECO-%20Proyecto%20Bridgestone.pptx))",Mejora Continua ,sí,sí,Aprueba,"La respuesta fue precisa al indicar que el proyecto no menciona reducción de personal y no especuló. Adicionalmente, brindó otros logros del proyecto sin caer en invenciones."
41,K01,Conceptual / recomendación,GM06,Baja,¿Qué es SMED?,"**SMED**, que significa *Single-Minute Exchange of Die* (cambio de matriz en un solo dígito de minutos), es una herramienta de mejora continua orientada a reducir drásticamente los tiempos ociosos que ocurren durante los cambios de formato en las líneas de producción. Esta metodología se enfoca en analizar la ruta crítica del proceso de cambio para capitalizar desperdicios y transformar tareas internas (que se ejecutan obligatoriamente con la máquina detenida) en tareas externas (que pueden prepararse mientras el equipo sigue operando). 

Como ejemplo práctico de su aplicación en los encuentros de SAMECO, en el trabajo de 2026 titulado *""Reducción de pérdida en Disponibilidad Programada en Línea de Bizcochos Sin TACC""*, los autores Martín Ribas, Pablo Barbería y su equipo aplicaron principios de SMED logrando disminuir en un 39% el tiempo de cambio de formato de un extrusor en la firma Molinos.

(Fuente: [2026 GM06 31° Encuentro - SAMECO - A3 Molinos](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx))",2026 GM06 31° Encuentro - SAMECO - A3 Molinos,sí,sí,Parcial,"La respuesta cumple con la explicación general de SMED y conecta correctamente con GM06 y el caso de Molinos (extrusor -39%), siguiendo el DEBE y sin inventar casos. Sin embargo, omite el detalle del -35% en la limpieza del horno que se esperaba en el ejemplo de GM06."
42,K02,Conceptual / recomendación,"GM06, GM13",Alta,Tengo una planta de alimentos con muchos cambios de formato. ¿Qué ideas me da la biblioteca?,"¡Hola! Qué gran desafío tenés por delante. En la biblioteca de SAMECO contamos con un caso excelente y muy reciente que te puede dar ideas sumamente prácticas: el trabajo **""Reducción de pérdida en Disponibilidad Programada en Línea de Bizcochos Sin TACC""** (presentado en el 31° Encuentro SAMECO, 2026, por Martín Ribas, Pablo Barbería y equipo).

De esta experiencia en una planta de alimentos podés tomar las siguientes ideas:

*   **Aplicar SMED en los equipos críticos:** Mapeá detalladamente el proceso de cambio de formato e identificá qué tareas de montaje o configuración (como el armado de piezas o moldes) se pueden ""externalizar"", es decir, realizar antes de que la máquina se detenga. En el caso analizado, lograron reducir un 39% el tiempo de cambio en el extrusor.
*   **Optimizar y estandarizar la limpieza:** El lavado y secado de equipos (como los hornos) suelen ser grandes cuellos de botella. Analizá estos pasos para acortar tiempos muertos, lo que en este proyecto permitió reducir un 35% el tiempo de limpieza del horno.
*   **Cartelera de programación visual:** Implementar una cartelera de programación semanal ayuda a que los operarios anticipen los próximos formatos a producir y tengan listos a tiempo los semielaborados o insumos necesarios, evitando paradas por falta de comunicación.

(Fuente: [2026 GM06 31° Encuentro - SAMECO - A3 Molinos](https://storage.googleapis.com/biblioteca_sameco_global/proyectos_encuentro/2026%20GM06%2031%C2%B0%20Encuentro%20-%20SAMECO%20-%20A3%20Molinos.pptx))",2026 GM06 31° Encuentro - SAMECO - A3 Molinos,sí,sí,Parcial,"La respuesta identifica y cita correctamente el GM06 para las recomendaciones. Sin embargo, omite varias ideas clave esperadas del GM06 (como la mejora del preventivo, la actualización de tiempos estándar y DMAIC) y no menciona las ideas opcionales del GM13."
